ID_REF	VALUE
14q0_st	0.47
14qI-1_st	2.39
14qI-1_x_st	1.38
14qI-2_st	0.55
14qI-3_x_st	0.70
14qI-4_st	0.45
14qI-4_x_st	0.49
14qI-5_st	0.56
14qI-6_st	0.66
14qI-6_x_st	0.46
14qI-7_st	1.20
14qI-8_st	0.67
14qI-8_x_st	0.70
14qI-9_x_st	0.82
14qII-10_st	0.46
14qII-10_x_st	0.89
14qII-11_st	0.55
14qII-11_x_st	0.45
14qII-12_st	0.71
14qII-12_x_st	0.78
14qII-13_st	0.49
14qII-13_x_st	1.26
14qII-14_st	0.49
14qII-14_x_st	0.31
14qII-15_x_st	0.39
14qII-16_st	0.68
14qII-17_st	0.78
14qII-18_st	0.82
14qII-18_x_st	0.78
14qII-19_st	1.07
14qII-1_st	0.35
14qII-1_x_st	0.49
14qII-20_st	0.86
14qII-20_x_st	0.18
14qII-21_x_st	0.82
14qII-22_x_st	0.61
14qII-23_x_st	0.42
14qII-24_st	2.43
14qII-25_x_st	0.21
14qII-26_st	0.41
14qII-26_x_st	0.21
14qII-27_st	0.73
14qII-27_x_st	0.55
14qII-28_x_st	0.83
14qII-29_st	0.88
14qII-29_x_st	0.65
14qII-2_st	0.43
14qII-30_st	0.78
14qII-31_st	0.83
14qII-3_st	0.55
14qII-3_x_st	0.03
14qII-4_st	0.62
14qII-4_x_st	1.54
14qII-5_x_st	0.29
14qII-6_st	0.46
14qII-6_x_st	0.35
14qII-7_st	1.17
14qII-8_st	0.45
14qII-8_x_st	0.97
14qII-9_x_st	0.90
ACA10_s_st	1.01
ACA11_st	0.58
ACA12_st	0.71
ACA12_x_st	0.56
ACA13_st	0.99
ACA14a_st	0.83
ACA14a_x_st	1.51
ACA14b_st	0.47
ACA14b_x_st	0.45
ACA15_s_st	1.06
ACA15_x_st	1.06
ACA16_st	0.58
ACA16_x_st	0.30
ACA17_st	0.36
ACA17_x_st	0.77
ACA18_x_st	0.57
ACA19_st	0.64
ACA1_s_st	0.61
ACA1_x_st	0.75
ACA20_st	1.15
ACA20_x_st	0.50
ACA21_st	1.23
ACA22_s_st	1.84
ACA23_st	0.94
ACA24_s_st	0.73
ACA24_x_st	1.08
ACA25_st	0.57
ACA25_x_st	0.42
ACA26_st	0.59
ACA27_x_st	0.68
ACA28_st	0.58
ACA29_st	0.96
ACA2a_st	0.29
ACA2b_s_st	0.23
ACA2b_st	0.75
ACA2b_x_st	0.79
ACA3-2_st	0.58
ACA3-2_x_st	0.46
ACA30_st	2.11
ACA30_x_st	1.08
ACA31_st	0.93
ACA32_st	0.48
ACA32_x_st	0.57
ACA33_st	1.42
ACA33_x_st	1.74
ACA34_s_st	0.63
ACA34_st	1.06
ACA34_x_st	0.53
ACA35_st	1.02
ACA36B_st	0.89
ACA36B_x_st	1.07
ACA36_x_st	0.68
ACA37_st	2.04
ACA37_x_st	1.11
ACA38_st	0.54
ACA39_st	0.88
ACA39_x_st	0.91
ACA3_st	0.48
ACA40_x_st	0.82
ACA41_st	0.59
ACA41_x_st	0.95
ACA42_st	0.10
ACA43_st	0.70
ACA44_s_st	0.49
ACA44_st	1.42
ACA45_st	4.93
ACA45_x_st	0.51
ACA46_st	0.55
ACA47_st	1.34
ACA47_x_st	1.22
ACA48_st	1.17
ACA48_x_st	0.82
ACA49_st	0.57
ACA4_st	0.40
ACA50_st	1.37
ACA51_x_st	0.95
ACA52_st	0.61
ACA53_st	0.97
ACA54_st	1.21
ACA55_st	0.74
ACA56_st	0.67
ACA57_st	5.70
ACA57_x_st	2.88
ACA58_st	0.98
ACA58_x_st	0.96
ACA59B_s_st	1.40
ACA59_s_st	0.73
ACA5_st	0.55
ACA5_x_st	0.81
ACA5b_st	0.81
ACA5b_x_st	0.42
ACA5c_st	0.57
ACA60_st	1.19
ACA61_st	0.68
ACA62_st	0.55
ACA63_st	0.61
ACA64_x_st	1.11
ACA65_st	0.37
ACA66_st	0.52
ACA66_x_st	0.22
ACA67B_st	1.34
ACA67B_x_st	1.33
