Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [disease status]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [phenotype]	Term Source REF	Term Accession Number	Characteristics [rat id]	Characteristics [rna source]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [disease status]	Term Source REF	Term Accession Number	FactorValue [phenotype]	Term Source REF	Term Accession Number	FactorValue [rat id]	FactorValue [rna source]
GSM1686392 1	miRNA	matrix vesicle	CKD Cal MV Set 3	CKD	  	  	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	cystic	  	  	N104	matrix vesicle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686392 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686392 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686392	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686392_NC03mi012_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686392_sample_table.txt norm	GSM1686392_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	CKD	  	  	cystic	  	  	N104	matrix vesicle
GSM1686391 1	miRNA	matrix vesicle	CKD Cal MV Set 2	CKD	  	  	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	cystic	  	  	N100	matrix vesicle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686391 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686391 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686391	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686391_NC03mi011_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686391_sample_table.txt norm	GSM1686391_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	CKD	  	  	cystic	  	  	N100	matrix vesicle
GSM1686390 1	miRNA	matrix vesicle	CKD Cal MV Set 1	CKD	  	  	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	cystic	  	  	N99	matrix vesicle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686390 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686390 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686390	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686390_NC03mi010_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686390_sample_table.txt norm	GSM1686390_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	CKD	  	  	cystic	  	  	N99	matrix vesicle
GSM1686389 1	miRNA	matrix vesicle	NL Cal MV Set 3	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	N105	matrix vesicle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686389 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686389 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686389	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686389_NC03mi009_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686389_sample_table.txt norm	GSM1686389_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	N105	matrix vesicle
GSM1686388 1	miRNA	matrix vesicle	NL Cal MV Set 2	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	N102	matrix vesicle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686388 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686388 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686388	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686388_NC03mi008_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686388_sample_table.txt norm	GSM1686388_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	N102	matrix vesicle
GSM1686387 1	miRNA	matrix vesicle	NL Cal MV Set 1	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	N101	matrix vesicle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686387 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686387 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686387	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686387_NC03mi007_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686387_sample_table.txt norm	GSM1686387_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	N101	matrix vesicle
GSM1686386 1	miRNA	vascular smooth muscle	CKD Cal VSMC Set 3	CKD	  	  	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	cystic	  	  	N104	vascular smooth muscle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686386 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686386 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686386	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686386_NC03mi006_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686386_sample_table.txt norm	GSM1686386_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	CKD	  	  	cystic	  	  	N104	vascular smooth muscle
GSM1686385 1	miRNA	vascular smooth muscle	CKD Cal VSMC Set 2	CKD	  	  	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	cystic	  	  	N100	vascular smooth muscle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686385 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686385 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686385	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686385_NC03mi005_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686385_sample_table.txt norm	GSM1686385_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	CKD	  	  	cystic	  	  	N100	vascular smooth muscle
GSM1686384 1	miRNA	vascular smooth muscle	CKD Cal VSMC Set 1	CKD	  	  	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	cystic	  	  	N99	vascular smooth muscle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686384 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686384 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686384	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686384_NC03mi004_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686384_sample_table.txt norm	GSM1686384_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	CKD	  	  	cystic	  	  	N99	vascular smooth muscle
GSM1686383 1	miRNA	vascular smooth muscle	NL Cal VSMC Set 3	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	vascular smooth muscle	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	N105	vascular smooth muscle	P-GSE68913-2	ArrayExpress	P-GSE68913-3	ArrayExpress	P-GSE68913-4	ArrayExpress	GSM1686383 extract 1	total RNA	P-GSE68913-5	ArrayExpress	GSM1686383 LE 1	biotin	P-GSE68913-6	ArrayExpress	GSM1686383	A-GEOD-16384	ArrayExpress	array assay	P-GSE68913-7	ArrayExpress	GSM1686383_NC03mi003_miRNA-3_0_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.raw.1.zip	P-GSE68913-1	ArrayExpress	GSM1686383_sample_table.txt norm	GSM1686383_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68913/E-GEOD-68913.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	N105	vascular smooth muscle
