ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04010	MAPK signaling pathway	116/2249	294/8112	6.22127794165843e-6	0.001488642601101974	0.0011912806287673538	4296/57551/1969/10000/9175/4208/3643/2246/5879/775/11221/6300/4915/2263/1946/51701/5601/2066/7039/5609/7786/2250/2252/5534/3479/1845/5579/4214/774/10746/5924/10368/5908/6195/4763/2316/6197/785/4215/10454/7046/1432/8491/5599/1398/5532/9344/5602/2122/409/7124/1849/4217/3845/1436/2064/782/2322/1435/5906/2005/5598/5970/836/356/784/284/8649/22800/5062/777/4149/285/5058/5494/1942/4233/9693/2324/6416/8681/100137049/3925/5530/5578/779/7010/5567/5594/1956/8913/408/2353/5894/59283/3654/5923/1852/55970/6789/2872/5535/3315/80824/2065/3725/80310/23118/5533/783/5922/1950/776/2247/3481/2768	116
hsa04728	Dopaminergic synapse	60/2249	132/8112	8.705512287146047e-6	0.001488642601101974	0.0011912806287673538	2903/2782/2892/10000/6323/1312/775/5519/6300/5601/2788/54331/2785/2786/5579/5500/774/817/3798/5501/5499/1815/818/1432/5599/5532/5602/409/5529/3709/3800/220074/5527/2932/6570/6571/5330/5525/2776/84699/2793/808/5530/5578/5567/64764/1388/408/2353/2893/2775/3799/3760/55970/9586/1385/5533/10681/776/5522	60
hsa05031	Amphetamine addiction	34/2249	69/8112	1.105103351619861e-4	0.01000941906120903	0.008009999864310089	2903/2892/775/5534/5173/5579/5500/817/5501/5499/818/2905/116443/5532/23411/6570/6571/84699/808/5530/5578/5567/64764/2902/1388/2353/2893/5535/9586/23237/3725/1385/5533/776	34
hsa04720	Long-term potentiation	33/2249	67/8112	1.4037583557443273e-4	0.01000941906120903	0.008009999864310089	2903/775/107/5534/5579/5500/5908/817/6195/5501/5499/6197/818/5502/2905/5532/3709/3845/1387/5906/2911/10411/5330/2776/808/5530/5578/5567/5594/2902/5894/5535/5533	33
hsa04724	Glutamatergic synapse	50/2249	114/8112	1.4633653598258815e-4	0.01000941906120903	0.008009999864310089	6511/2903/2782/2892/22941/775/107/57030/2788/54331/1742/5534/2785/2786/54407/5579/6506/2744/2905/116443/5532/5337/2900/3709/113/2911/5330/2776/2793/2901/8681/100137049/5530/2898/5578/6507/5567/5594/2902/2893/2775/3760/55970/5535/2899/6512/5533/10681/776/115	50
hsa04261	Adrenergic signaling in cardiomyocytes	62/2249	150/8112	2.0037218610322122e-4	0.01142121460788361	0.009139783927515355	10000/5350/491/775/5519/6300/107/7171/23439/148/7170/5500/10368/817/6330/6332/5501/5499/23533/818/785/5502/1432/1390/5529/782/113/5527/490/3753/7168/486/784/7169/10411/5330/492/5525/6543/2776/84699/808/6331/5578/779/5567/5594/64764/488/1388/483/493/59283/9586/186/1385/185/783/482/776/5522/115	62
hsa04921	Oxytocin signaling pathway	63/2249	154/8112	2.521047993701054e-4	0.011839305809714177	0.009474359835413008	4878/4208/775/107/387/5534/5579/5500/3768/5565/10368/817/8536/5501/5499/57118/23533/818/785/60/5532/3709/3845/5571/782/113/5564/5598/784/53632/5330/2776/5563/808/8681/100137049/4659/5530/5578/779/5567/5594/1956/4660/10398/2353/5894/2775/59283/3760/2977/5535/6093/29904/4773/10645/3725/5533/4637/783/5743/776/115	63
hsa04961	Endocrine and other factor-regulated calcium reabsorption	27/2249	53/8112	2.7694282595822637e-4	0.011839305809714177	0.009474359835413008	491/8218/23439/26052/5579/1211/163/7421/5745/1759/1213/490/3817/486/56302/5330/492/6543/2776/5578/5567/483/2099/493/8766/482/115	27
hsa04360	Axon guidance	72/2249	182/8112	3.1789664437724624e-4	0.012080072486335358	0.009667032460594622	10507/1969/85464/80031/10505/2043/5879/6092/2044/54910/1946/387/1808/8633/57556/5534/659/2534/817/27289/1630/10509/818/1073/6387/6608/2045/658/5362/137970/6585/8482/5532/91584/7852/3845/2932/5062/5058/5781/7474/56924/1942/4233/5530/22885/5578/2042/5594/2046/54961/54361/10398/5727/91653/5894/2242/10154/5535/6093/9723/57144/7224/4773/54437/5533/9037/1949/5063/7222/6586/23365	72
hsa04022	cGMP-PKG signaling pathway	66/2249	167/8112	5.728145965637676e-4	0.019590259202480854	0.015677031063850485	4878/10000/5350/4208/3643/491/775/107/387/5534/23439/5592/148/5500/5501/5499/23533/1909/5532/5139/3709/140/113/490/3667/3778/486/4209/5330/492/6543/2776/84699/808/4659/4205/5530/779/5594/64764/488/8660/10398/1388/7416/483/5894/493/2977/5535/6093/9586/1910/4773/1385/291/185/5533/5593/10105/482/776/100271849/2768/3764/115	66
hsa04141	Protein processing in endoplasmic reticulum	67/2249	171/8112	6.893198036083681e-4	0.019672943611733267	0.015743198950602187	9695/578/23640/7323/84447/11231/11253/91445/6400/7326/5601/5609/811/51619/10483/55666/6746/3998/5034/56681/80267/10802/27248/55432/81567/5599/5602/23193/4217/10970/9451/4287/7327/573/5071/2923/56893/80343/54788/7321/55176/6238/29979/10484/7353/8720/51128/821/1388/10299/22926/6747/23471/79139/6185/133022/25956/27102/51465/1650/55768/51360/10427/5610/56605/824/9373	67
