ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007265	Ras protein signal transduction	30/610	346/18866	1.0282767585557063e-6	0.00489973875451794	0.00456663120457529	6242/8036/10276/4893/57826/23362/11315/51196/395/382/1399/9693/7042/345/6239/5921/171177/613/83478/57698/5922/9448/8473/50848/9909/9710/23616/1432/27314/440107	30
CC	GO:0098978	glutamatergic synapse	30/629	361/19559	2.233375695231755e-6	0.0012104896268156113	0.0011072841604780597	58489/4644/60/5530/55607/10142/7525/6326/51104/64854/163/6506/382/3751/1742/139065/347730/2898/9229/29/3356/9455/54476/23373/613/2060/54583/9378/1432/2890	30
CC	GO:0031252	cell leading edge	30/629	421/19559	4.4184553641303344e-5	0.008391194165469738	0.007675767045904538	4644/6624/23380/23710/55704/60/55607/149371/83660/57669/9847/4739/23362/51196/55604/6506/65059/382/5829/4646/114609/5921/1654/6868/10096/57698/2245/23616/2890/747	30
CC	GO:0099572	postsynaptic specialization	27/629	361/19559	4.644572416311663e-5	0.008391194165469738	0.007675767045904538	58489/3188/23380/55607/120/10142/7525/51104/23362/3751/1742/9863/9478/347730/2898/9229/29/9455/23373/613/29102/10243/54583/64506/1141/2890/747	27
CC	GO:0000932	P-body	11/629	88/19559	1.1808687960696388e-4	0.016000772186743607	0.01463655797233684	51441/1656/11030/9924/55629/54464/149041/9698/9710/57819/64506	11
CC	GO:0043296	apical junction complex	14/629	143/19559	2.146979690052566e-4	0.02081992652617824	0.01904483471320635	60/29855/71/57826/64398/153562/9693/9863/51421/150084/54566/92140/50848/23616	14
CC	GO:0014069	postsynaptic density	24/629	337/19559	2.52458650799216e-4	0.02081992652617824	0.01904483471320635	58489/3188/23380/55607/120/10142/51104/23362/3751/1742/9863/9478/2898/9229/29/9455/23373/613/29102/10243/54583/64506/2890/747	24
CC	GO:0070160	tight junction	13/629	129/19559	2.68892040005992e-4	0.02081992652617824	0.01904483471320635	60/29855/57826/64398/153562/9693/9863/51421/150084/54566/92140/50848/23616	13
CC	GO:0032279	asymmetric synapse	24/629	343/19559	3.271056508006312e-4	0.022161407841742767	0.020271942306197017	58489/3188/23380/55607/120/10142/51104/23362/3751/1742/9863/9478/2898/9229/29/9455/23373/613/29102/10243/54583/64506/2890/747	24
CC	GO:0055037	recycling endosome	16/629	190/19559	4.4158241921817687e-4	0.02659307457958354	0.024325768356931145	58489/164/4644/51104/57826/3775/10067/1182/382/57533/51552/51421/8324/23232/7037/2890	16
CC	GO:0005923	bicellular tight junction	12/629	122/19559	5.707190219546032e-4	0.030932970989939496	0.028295648351644016	29855/57826/64398/153562/9693/9863/51421/150084/54566/92140/50848/23616	12
CC	GO:0098984	neuron to neuron synapse	24/629	368/19559	8.877965721001793e-4	0.04186728102562188	0.03829770705587086	58489/3188/23380/55607/120/10142/51104/23362/3751/1742/9863/9478/2898/9229/29/9455/23373/613/29102/10243/54583/64506/2890/747	24
CC	GO:0005938	cell cortex	21/629	305/19559	9.269508714159826e-4	0.04186728102562188	0.03829770705587086	6242/6624/60/55607/149371/2317/120/9847/4739/382/1742/9590/642273/5829/4646/7402/4082/9478/1073/23616/7111	21
