ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04360	Axon guidance	39/832	182/8112	5.415103100924221e-6	0.0017923991264059173	0.0017271328837684624	5921/10371/5534/5293/2932/817/1808/2771/7976/4773/9423/80031/4775/25/8633/5058/10154/5296/1073/1945/1944/8440/10501/3845/85464/1946/57144/658/5362/9901/5530/7223/23365/2534/1949/57715/3985/219699/5578	39
hsa04014	Ras signaling pathway	39/832	232/8112	0.001241982544847513	0.2055481111722634	0.19806353215199815	5899/5921/2002/5293/5908/5869/5922/2264/2790/8036/5599/25/5058/5923/5296/9846/6464/1945/1944/8315/3845/1946/57144/4763/81579/2784/6789/22800/5566/8831/2903/26279/4301/598/5900/4915/115727/5578/91860	39
hsa04012	ErbB signaling pathway	17/832	85/8112	0.005103603327454367	0.5166815880890819	0.49786777290822654	2002/5293/2932/817/5599/25/5058/5296/6464/10718/8440/3845/57144/2066/1026/2065/5578	17
hsa04931	Insulin resistance	20/832	108/8112	0.00624388626089525	0.5166815880890819	0.49786777290822654	133522/5293/2932/9021/5599/9945/5524/5296/183/92579/8660/10724/10891/6196/6517/5563/53632/3667/57761/9586	20
hsa01250	Biosynthesis of nucleotide sugars	9/832	37/8112	0.010680182641728675	0.5556983578371146	0.5354638334382119	2582/5238/9945/55586/5236/4351/2821/91373/64841	9
hsa04530	Tight junction	27/832	169/8112	0.012838252301031793	0.5556983578371146	0.5354638334382119	1019/1740/9693/51421/5599/4734/4478/653857/861/23327/5584/87/57826/5563/5519/4629/8531/50848/4217/53632/5566/154810/4301/3996/54566/4627/58494	27
hsa04218	Cellular senescence	25/832	156/8112	0.015656126775969222	0.5556983578371146	0.5354638334382119	9134/1019/5534/5293/4605/147746/5481/4773/4775/8900/54822/28996/5296/10758/3845/5530/993/144715/22800/1026/83447/10114/5054/4193/91860	25
hsa04930	Type II diabetes mellitus	10/832	46/8112	0.016255393624491972	0.5556983578371146	0.5354638334382119	8651/5293/9021/5599/5296/8660/6517/3767/9370/3667	10
hsa04625	C-type lectin receptor signaling pathway	18/832	104/8112	0.018036947888468026	0.5556983578371146	0.5354638334382119	5534/5293/4773/10379/4775/5599/5058/6367/5296/8915/3845/602/64581/5530/23365/22800/4193/91860	18
hsa05017	Spinocerebellar ataxia	23/832	143/8112	0.01910767679645911	0.5556983578371146	0.5354638334382119	5293/4654/11047/23152/6095/2891/342371/5599/8678/11273/5713/5296/6310/146227/5690/9519/4217/55102/29982/5701/83447/2903/5578	23
hsa04380	Osteoclast differentiation	21/832	128/8112	0.019913373165850175	0.5556983578371146	0.5354638334382119	6688/8651/5534/799/5293/55423/9021/4773/10379/5599/3455/5296/2355/9846/3726/10326/5530/3716/2534/2212/10454	21
