ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0050679	positive regulation of epithelial cell proliferation	26/885	211/18866	6.751635910046481e-6	0.031302324114958625	0.02985493867221822	9241/9037/2254/2252/6239/10765/5629/6934/7857/4830/253260/8013/2152/5764/3091/80139/6431/3481/6662/6664/219736/6667/130497/2752/57599/5587	26
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	22/885	168/18866	1.2934675087073117e-5	0.031302324114958625	0.02985493867221822	55714/9499/5101/56130/152404/65217/56142/1008/152330/56145/56143/56138/56141/56146/56147/56140/56144/23705/221935/56126/634/1004	22
BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	30/885	277/18866	1.833762396892714e-5	0.031302324114958625	0.02985493867221822	55714/1432/9499/5101/421/2895/56130/152404/27032/65217/22865/56142/1008/152330/56145/56143/56138/56141/56146/56147/56140/56144/9073/23705/30835/221935/23284/56126/634/1004	30
BP	GO:0033044	regulation of chromosome organization	35/885	356/18866	3.082707318029409e-5	0.03946636043907151	0.03764147883067489	3720/93624/57379/6047/6688/3020/94104/54454/9320/9319/7290/6950/6879/78990/996/7013/116028/55183/56254/144108/84250/57708/3481/4602/908/817/55818/10783/51143/26036/3981/140690/5587/25842/80854	35
BP	GO:1902275	regulation of chromatin organization	23/885	195/18866	4.5410257006931146e-5	0.042434665145152074	0.04047253235357108	3720/93624/57379/6688/94104/54454/9320/7290/6879/78990/55183/56254/144108/57708/3481/4602/817/55818/26036/140690/5587/25842/80854	23
BP	GO:0060537	muscle tissue development	38/885	409/18866	4.9718412589516196e-5	0.042434665145152074	0.04047253235357108	3720/196528/2353/58/7168/9241/1432/1901/27302/2254/1466/5629/56983/7026/4211/26263/137868/4205/9734/51778/406/6662/4208/6664/7763/130497/10611/205428/5350/905/25976/409/4868/4015/4878/467/1073/5573	38
MF	GO:0035035	histone acetyltransferase binding	10/899	28/18352	4.434576990613273e-7	3.738348403086989e-4	3.5896733745069545e-4	1051/2113/6879/151050/8013/284058/4205/3091/6667/2034	10
MF	GO:0140297	DNA-binding transcription factor binding	38/899	347/18352	3.108154567557015e-6	0.0013100871502252818	0.0012579846644480762	1051/2353/4294/6925/1432/6688/22954/9320/7091/5970/23710/5629/6597/6934/6879/4087/166968/8013/4205/9324/9734/3091/57708/80139/6938/406/6662/4208/55791/23426/6667/4824/2932/29969/2957/55818/10783/23532	38
MF	GO:0034236	protein kinase A catalytic subunit binding	6/899	13/18352	1.7332309237279588e-5	0.004870378895675564	0.004676682738058948	5577/5569/6662/2932/5575/5573	6
MF	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	7/899	24/18352	1.0986885062515313e-4	0.023154860269251024	0.022233985823879674	1051/2353/3020/5970/2957/5978/55818	7
