ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04917	Prolactin signaling pathway	13/399	70/8112	2.9720755012166777e-5	0.005935775210915916	0.005155267683616394	2353/2592/1432/8651/5970/3845/5290/6654/8835/5602/9306/2932/2001	13
hsa05168	Herpes simplex virus 1 infection	45/399	495/8112	3.918003439548459e-5	0.005935775210915916	0.005155267683616394	55713/58492/7678/147741/7699/148198/388536/5970/344787/147923/57677/339559/57786/5290/93134/7187/79862/57615/55769/163071/7559/9534/162967/79088/317/6431/84436/23118/91664/6885/6009/330/284349/340252/7769/79230/7639/163131/349075/90333/22869/147658/10520/4615/57209	45
hsa04660	T cell receptor signaling pathway	15/399	104/8112	1.5710710362658775e-4	0.015867817466285364	0.013781324879525244	2353/1432/5970/3845/5290/10451/6654/9020/84433/3702/5602/57144/6885/1493/2932	15
hsa04722	Neurotrophin signaling pathway	15/399	119/8112	6.948200017087411e-4	0.04621812124842976	0.04014080358557388	1432/6197/5970/3845/5290/6654/5879/5908/5602/7531/627/6272/11213/817/2932	15
hsa00640	Propanoate metabolism	7/399	32/8112	7.626752681259035e-4	0.04621812124842976	0.04014080358557388	4594/55862/1962/79611/5095/55902/18	7
hsa04010	MAPK signaling pathway	27/399	294/8112	0.0012415918756987037	0.06270038972278454	0.05445578402187297	2353/785/1436/1432/2254/6197/3925/5970/2252/3845/6654/8822/9693/9020/5879/5908/5602/3481/8491/23118/4208/627/6885/3304/994/409/4615	27
hsa04380	Osteoclast differentiation	15/399	128/8112	0.0014823515408926714	0.06416464527006849	0.05572750153731847	2353/1436/1432/6688/8651/5970/5290/2355/9020/5879/5602/23118/6885/4286/11024	15
hsa05211	Renal cell carcinoma	10/399	69/8112	0.0018638708584553054	0.0644341307798041	0.05596155183238155	2113/6921/3845/5290/6654/3091/5879/5908/57144/2034	10
hsa00650	Butanoate metabolism	6/399	28/8112	0.0020401832003218013	0.0644341307798041	0.05596155183238155	79944/142827/54988/1962/18/3157	6
hsa04662	B cell receptor signaling pathway	11/399	82/8112	0.0021265389696304986	0.0644341307798041	0.05596155183238155	2353/5970/3845/5290/3635/10451/6654/84433/5879/2932/11024	11
hsa05132	Salmonella infection	23/399	249/8112	0.0026008766526011704	0.07164232961255952	0.06222192948806628	112574/2353/1780/1432/5970/3840/55860/5290/6934/26263/3836/5879/10094/5602/23118/6885/57617/7280/330/382/51143/5878/4615	23
hsa05135	Yersinia infection	15/399	137/8112	0.0029115752880338247	0.07351727602285407	0.06385033526389966	2353/1432/6197/5586/5970/5290/10451/5879/10094/5602/23118/6885/2932/382/4615	15
hsa05417	Lipid and atherosclerosis	20/399	215/8112	0.004467935048888535	0.10413725537024815	0.09044402932972742	2353/1432/5970/3845/5290/7187/10451/5879/5908/5602/317/1559/23118/3309/6885/817/2932/948/3304/4615	20
hsa04064	NF-kappa B signaling pathway	12/399	104/8112	0.0048664448014216835	0.1053237696307693	0.09147452634251285	6357/4050/5970/7187/9020/84433/23118/6885/29775/330/331/4615	12
hsa05130	Pathogenic Escherichia coli infection	18/399	197/8112	0.008166432213949552	0.16496193072178095	0.14327074059560618	2353/4651/1432/4642/5970/5879/10094/5602/5861/10802/23118/6885/2017/7280/9073/382/4430/4615	18
hsa04668	TNF signaling pathway	12/399	112/8112	0.008748926849837742	0.16515247504366087	0.14343622984511106	1051/2353/1432/5970/5290/7187/9020/64764/5602/23118/6885/330	12
