ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
rno04015,Rap1 signaling pathway,43/813,213/8976,3.482551148167564e-7,1.1318291231544583e-4,8.248147456186336e-5,25513/81531/171337/308995/83502/24654/84006/78965/114705/81757/29316/245903/24596/25267/114111/295378/24525/362279/81649/310533/170911/116546/24329/24482/25317/25248/25289/113970/307403/24954/24242/24244/50663/89811/315776/81511/287876/116590/81822/311163/114110/114633/25022,43
rno04010,MAPK signaling pathway,51/813,293/8976,3.3205251002035744e-6,5.395853287830808e-4,3.932200776556864e-4,171337/29658/303604/29717/25579/78965/140926/300980/314322/309165/501099/24494/303823/94202/313845/24667/171492/24596/25267/497961/114111/24592/306243/24525/81649/310533/363855/24329/24482/25317/29748/114120/307403/499497/25398/24954/116600/89811/116554/25597/308267/29477/116590/317203/25676/114110/311743/24666/29716/311622/25022,51
rno04550,Signaling pathways regulating pluripotency of stem cells,30/813,142/8976,8.05939266731587e-6,7.35095237832395e-4,5.356969344527574e-4,25513/681740/306571/686117/64444/689883/59328/307829/81680/100360552/29263/303251/85435/24525/81649/170911/245921/24482/307151/79558/24205/81507/64558/303181/25587/291023/116590/303811/25022/25509,30
rno05100,Bacterial invasion of epithelial cells,20/813,77/8976,1.104518117687284e-5,7.35095237832395e-4,5.356969344527574e-4,25513/83800/307505/83502/25751/56003/310460/289820/170911/361388/315346/316258/305227/679845/363542/287876/81822/360854/691335/360820,20
rno04014,Ras signaling pathway,42/813,234/8976,1.1309157505113769e-5,7.35095237832395e-4,5.356969344527574e-4,25513/171337/79121/29354/78965/309165/81757/313845/24356/304883/24596/25267/114111/24592/24525/170911/361388/116546/24329/24482/25317/114120/307403/296078/24954/679845/24242/24244/50663/89811/116554/25597/311450/81511/687346/116590/25676/114110/114633/79218/311622/25022,42
rno04660,T cell receptor signaling pathway,24/813,104/8976,1.3673930835667519e-5,7.406712535986572e-4,5.397604277237179e-4,25513/301626/25660/314322/85420/309165/311658/313845/295378/81745/24525/81649/170911/363855/25325/29748/64545/171136/296078/116554/311450/81511/116590/24497,24
rno05200,Pathways in cancer,77/813,538/8976,2.66571218748206e-5,0.0011052984138484063,8.054806254765714e-4,25513/679869/25473/317673/266802/297437/307505/84405/313929/83502/24654/24790/362489/100360218/252963/314322/29560/362788/308457/81717/309165/25496/690369/192362/81757/25400/24335/360606/313845/50662/25664/100360552/24356/78963/24716/25267/114111/311332/83840/303251/294797/24525/170911/116546/24705/24329/24482/313575/25317/84023/25289/114120/29492/307403/25271/24205/63879/84584/24242/24244/50663/64558/89811/116554/24326/25094/303181/299331/116590/24497/140589/303811/114110/79218/311622/25022/287280,77
rno04390,Hippo signaling pathway,31/813,158/8976,2.7207345571653076e-5,0.0011052984138484063,8.054806254765714e-4,679869/315648/317673/307505/257646/25576/24668/83502/84006/85265/100360552/360920/56011/246255/303251/362279/25317/64462/24205/81507/64558/303181/25587/305025/287876/24617/81822/316101/303811/314259/117256,31
rno05202,Transcriptional misregulation in cancer,35/813,194/8976,5.402028498043387e-5,0.0019507325131823345,0.001421586446853523,297099/311876/686117/317376/24790/362489/192352/309165/315606/360635/79242/497881/310687/50662/25664/502935/100911668/170909/24596/362831/24705/315291/24482/307151/29628/307403/25271/114502/499497/114634/362316/25094/63840/25587/100310845,35
rno05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,20/813,89/8976,1.0455580788078524e-4,0.00339806375612552,0.002476321765597545,25513/266802/303604/301626/25660/314322/29560/85420/309165/311658/83840/24525/81649/170911/24329/29748/363328/680127/81511/116590,20
