ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0001667,ameboidal-type cell migration,306/8652,458/18112,6.760910885329081e-17,2.421465014628847e-13,1.5065075927645555e-13,85272/362930/24483/24356/360272/24790/300289/361764/305471/50672/24392/25682/81531/64204/25236/114514/114110/311384/366669/85471/366508/293649/301346/207122/298594/680066/501099/306873/24957/29560/294503/81722/307618/64468/140581/362171/171357/312781/301363/29681/303901/24451/29279/25159/24855/64373/24660/24185/64444/64202/361568/308766/25112/81526/29348/361632/300721/56718/117273/83805/24874/314148/83572/89805/296072/50646/300455/296179/290562/25537/171356/114098/296789/316521/24482/361069/114850/63995/84609/81823/25317/311144/24771/691426/361324/24918/29431/305987/171374/114111/315713/360820/365037/361341/25227/360468/117033/170582/114502/84580/25622/679819/365865/282844/29180/50557/79121/300339/307449/29751/25694/245921/81732/114500/287931/29361/498764/301509/362842/360606/25296/311071/192126/292401/64030/100361376/64637/290537/79210/24516/25496/85489/100363275/297480/25614/317181/64185/24807/24404/29386/311494/299284/83501/64303/499497/24323/312670/315120/140590/303200/294400/192270/445442/310999/81745/309757/292658/303604/362317/298947/296787/689008/25414/293042/24716/192248/296201/79558/64535/25509/24326/113984/25240/29616/362860/60427/292804/84050/65157/312566/84582/500464/295234/25661/501841/361920/293710/81830/89807/494345/58946/313587/293046/83722/29316/25664/366492/311332/312652/24592/25433/25426/363142/114215/83684/315996/79114/686310/362931/304299/686590/308336/292878/24617/117183/171369/24471/305552/25560/500485/29527/25738/24324/24791/301737/293614/24628/24511/306260/311860/89804/498130/306790/290834/25073/29659/84477/29744/361167/114029/81919/170496/25246/29568/494343/65048/83823/24179/316201/29499/170520/116499/79240/170921/171049/29741/94202/24241/83765/81679/287774/309429/24816/295105/24835/685781/63865/25401/308061/25313/25273/362578/361112/305066/684085/366270/302993/310630/310632/24553/290921/287287/64566/140586/83425/362456/58823/25237/287454/29349/81687/59323/309684/64803/246262/501195/361598/361228/312936/363662/60628/25380/25724/300067/360737/363875,306
GO:0042391,regulation of membrane potential,323/8652,488/18112,7.329998530736633e-17,2.421465014628847e-13,1.5065075927645555e-13,25722/65195/27150/266734/114245/83721/315611/367302/24392/24602/65272/315606/116491/65023/29701/29219/25456/116470/688993/24412/25297/309953/116638/29628/29710/29477/140447/25650/25369/296374/29335/116502/24410/25177/171131/293860/25468/25471/29738/58971/24414/25505/288995/63883/365228/114032/29553/29753/29629/59324/117028/25103/171104/24660/24185/303926/307206/25229/66026/81721/140908/25049/65206/56718/499461/83805/81666/25590/114115/29707/24214/50646/29694/50592/25327/29480/29571/114850/309135/25101/691431/641520/24817/25398/25521/312896/117542/54239/171571/690575/60391/25399/140448/313564/117096/29209/192249/24316/65178/85275/497815/58942/24242/24244/50663/361705/29272/498922/294715/287110/363159/25248/89843/79246/24397/50557/307562/291760/361967/24166/59312/81632/497770/24782/81658/24596/24406/29884/54240/689172/298487/89808/25298/684516/24948/309242/114244/29693/245956/56827/24516/84685/297480/24947/29718/50563/26955/24807/81662/29386/24925/29686/29712/499497/24323/252857/360950/290533/286937/361833/29705/170899/100233213/309757/295922/315644/294961/25041/81574/24766/64830/24408/192247/56768/64120/117018/65198/24224/25576/24225/24887/29709/29717/266760/24577/24418/25054/25252/24922/689560/25404/140933/83731/295455/25470/25411/64513/25592/499529/24718/298521/116600/304514/59266/691246/25450/24613/24407/367315/308572/501039/366274/29716/63997/25238/311191/681190/54226/58950/140675/29708/25601/24401/64371/25548/100910104/66028/50564/29495/192258/246153/83810/29659/296167/113995/25665/24888/29695/298575/114862/291553/362524/154968/492821/24179/85262/156873/171143/170848/501052/64476/300967/65024/311423/29290/100360518/29713/64443/266976/81657/116643/65025/287478/29184/116647/192647/24176/81679/24498/83614/58963/24835/24261/64574/60582/688705/25591/84012/65187/79146/78957/57302/298576/25390/246325/24923/29192/64636/170945/25302/360718/24411/24553/140674/64045/171146/288665/361722/100360071/315311/300160/287454/301034/298203/59301/301458/64625/84020/54296/29412/25688/315870/78956/291245/315422/306871/689043/287877/66024/24211/25283/298942/25723,323
GO:0060562,epithelial tube morphogenesis,269/8652,396/18112,2.1325940898655007e-16,4.696683050580454e-13,2.9220280424297474e-13,362736/85272/360272/499745/24650/83721/305348/24392/306657/79428/316013/311622/290905/25236/315217/84584/85471/366508/25267/293649/301346/25640/679713/501099/305999/84469/29560/81707/294503/362051/252833/300754/312781/25497/24390/361700/497991/94203/24855/266803/79225/64373/361828/308766/305230/289229/117273/83805/679693/305505/367242/171287/29748/171458/361472/25537/171356/679028/296789/360635/24482/25317/24771/287715/84402/29431/116466/25690/311508/362918/361517/309377/315713/360820/299979/24247/114502/306664/84580/84353/498328/310315/361769/24525/500308/25483/316742/140588/361096/59312/65165/502935/64512/114500/685072/308582/311331/25495/25296/311071/59112/25026/58868/60445/64637/364634/83629/313757/25496/85489/84046/498819/503000/353305/297480/25154/299138/303968/29216/29397/299284/64303/24881/499497/58834/24323/297867/298894/500863/300128/84426/303634/294276/24413/361400/24668/24716/364666/296201/79558/24224/24326/307740/114487/114634/25406/304883/499593/307594/292912/25099/50554/84399/24577/292770/58946/25252/316539/689560/366542/286994/78965/78963/29492/366492/311332/314785/306141/312652/290669/24705/114523/308739/171116/365352/353252/686412/303181/81757/691246/299802/497010/688749/362657/361419/81517/64044/294809/287612/305012/305497/24695/311860/83518/25249/498130/304947/24873/114029/299638/303811/114490/170496/25246/306400/494343/298878/24179/293148/25022/308577/304495/295461/84010/29499/29373/155437/287867/161452/363126/171049/500409/25678/24835/245974/81638/25401/363544/362265/312651/304729/25313/25273/245920/308923/29192/89806/315259/302993/687536/114093/83718/24553/290921/29258/64566/310552/29577/298555/140586/365468/58823/24883/25237/287454/29349/29385/306659/289437/114766/54254/170633/312936/304037/60628/299266/24180/282836/360737,269
GO:0045165,cell fate commitment,200/8652,280/18112,5.210046024430177e-16,8.605693520852544e-13,5.354007822473642e-13,312563/314423/24388/84380/287357/317268/64186/85471/315196/29417/25640/100360552/307376/293012/294503/501145/293165/29588/362051/282582/252833/113983/303021/25159/266803/79225/64444/303991/308766/56718/295953/117273/246271/24205/25389/116668/171356/679028/311901/361060/114850/266813/84574/363455/360610/84402/312495/25125/24499/367218/116466/363630/315713/680427/114502/84353/361769/24882/305719/59328/315294/140588/502935/155430/81737/689988/24796/299206/25296/29300/25094/29423/313713/316052/305922/497881/25496/307579/24370/353305/499361/29458/317715/24881/499497/24323/25587/312937/114503/65050/84426/293976/50662/171360/303496/679869/81507/79558/24224/25509/24326/113984/114487/114634/499593/56761/25099/50554/308831/84399/295475/155140/29410/366542/25664/29492/311332/306141/291100/337868/24705/29452/304514/303181/315338/79114/304063/54320/140587/25671/288457/24511/500311/303399/362481/29146/366214/60394/24842/361531/309095/25730/25022/117034/50938/84010/29499/29373/414065/500409/304103/81751/288821/292934/312478/24498/313388/364140/360748/25647/689210/304729/25273/364031/170671/305066/289026/294299/29192/289227/684085/302993/100365184/683470/290652/287287/64566/25697/25172/310552/29147/29577/114125/140586/293897/24883/289237/29349/59323/25517/54254/294562/296500/312936/315870/57233/360775/302369/299611/360737,200
GO:0007264,small GTPase mediated signal transduction,293/8652,444/18112,3.6964904718882255e-15,4.884542509553101e-12,3.03890427215232e-12,296456/360272/303350/24708/300289/25183/116479/315121/85428/306380/83709/84014/171337/29434/685244/24942/25751/312477/25482/287707/362257/306934/365216/24917/59295/691418/314904/64665/360521/301363/84352/303351/78966/24451/315055/310533/303222/303298/307500/309922/300444/24855/64373/314903/287543/140693/361568/308023/289229/117273/83805/50866/291610/500906/315530/295588/260326/313438/63994/307098/171381/171565/500985/25537/296380/24482/315668/362817/360797/29491/361674/266729/286928/303836/367085/25531/29431/305987/25577/298298/81504/361987/317219/689883/307016/293497/767613/24525/304193/24629/59326/302373/367072/79121/679082/84589/309451/24596/24335/361617/362842/360606/296211/309722/315639/192126/316258/100361376/84009/293024/24516/690853/25496/302495/295347/313845/308509/29372/81821/24925/299799/313210/289080/359959/83501/58834/60336/312915/252857/365793/311913/690538/315992/246212/303141/311193/81754/310999/365355/300128/363140/287156/305675/303634/312113/116546/114851/298947/26295/362993/680419/192248/317580/361503/83841/24326/304883/312664/302378/60427/313633/305156/292912/361714/24673/360481/25530/287633/308821/499672/305367/58946/116744/298545/360720/83722/78965/689710/29492/306141/295378/24592/114523/25597/24718/498282/299909/362111/81757/56785/310738/367315/361314/299156/54320/291713/686590/24167/100361774/362770/170818/116691/54260/360519/307459/366733/288093/306004/361442/83462/301709/24511/311860/306760/498130/317371/171581/83527/94193/29622/360745/308875/113912/24842/116677/306400/114633/25676/295342/305751/81511/309548/679934/64476/306618/363235/50938/303653/360849/83765/308408/29636/291974/309429/313388/170851/114203/309175/313838/688705/296648/29332/85384/360678/293660/246310/311785/303185/362963/687346/300783/310838/313874/499518/500943/679957/116692/24553/310621/65158/308666/29662/25532/362456/58823/361800/288589/100361238/499652/25439/58921/494521/29412/117020/293947/24180/309361/300067/84595/363875/296121/361251/313644,293
GO:0001503,ossification,289/8652,438/18112,5.869205476251877e-15,6.462973430266026e-12,4.020920593818172e-12,294925/85272/24483/24790/79216/114107/84380/24392/83709/25236/25431/114700/314910/315196/29417/304581/297096/293649/291228/302421/113955/100912012/29560/81707/501145/25512/114483/83476/304913/24831/312781/84352/303021/304334/29148/65035/29702/246334/311437/24185/24477/313860/81649/117273/116590/29175/24914/287644/24205/50646/83504/25205/315159/171356/679028/25285/24482/65190/363455/252835/304988/682930/84402/361391/311604/367218/25690/29237/24518/25554/24484/362918/114031/114111/313564/24247/679787/114506/362165/84580/84353/25622/29733/24882/303745/305386/59328/363294/116490/25483/315294/140588/310849/94338/25608/114090/25495/25279/25296/315716/362246/170842/63839/58868/84023/63849/367100/116554/64637/81516/313757/25496/85489/360773/84046/503000/25654/690516/25614/24807/29597/287765/83837/81813/499497/315879/25587/300870/314280/291023/313922/140590/64032/116506/498333/498194/500863/302680/156726/310395/85250/114593/84426/367846/308718/360863/50662/315039/684112/25546/295062/679869/680712/689008/81507/57301/293701/79558/24224/294408/310461/499593/81733/50554/84582/84399/25661/364706/303554/25586/294075/171052/80722/366542/286994/309288/25664/78965/29263/366492/24592/317346/303181/313689/81518/83615/83817/79114/681309/291567/113882/308415/170818/292041/81517/294279/500485/29527/287534/25548/294809/25671/24791/289992/292999/24695/89804/311215/306790/304947/83469/24873/289777/29146/294297/286908/366998/29403/353227/81635/65038/298744/298878/292263/306375/310448/81812/315272/83618/171143/25022/316101/306805/83422/83838/100362255/29499/29373/155437/161452/25261/81657/114207/24241/291312/314619/24176/24653/293617/24498/24835/685781/25353/25312/304729/25273/79107/301088/25290/287102/25542/302993/314300/362521/64824/66023/290921/363111/499431/64566/25172/310552/140586/295106/25510/117278/293897/301034/81687/79110/308796/294787/297894/299766/24250/24517/282836/84397/79113,289
GO:0045664,regulation of neuron differentiation,171/8652,237/18112,1.5304551488129782e-14,1.4072686803266833e-11,8.755282191416915e-12,85272/314423/50672/338475/294515/64186/313575/307829/29515/363062/286895/289201/362825/287986/78974/361921/499211/252833/362249/497991/497198/25416/29409/25159/79225/117028/64444/64202/56718/117273/293546/25705/367838/252835/500562/363067/84402/266729/303836/171571/56010/315689/24174/140610/116658/305719/687424/316742/140588/50557/303439/64033/502935/81732/155430/81737/24596/305589/24335/288152/25296/102547219/24948/29456/116554/313713/54276/363212/497881/25496/84046/24370/313929/286901/303823/29458/299284/499497/25587/298506/291023/298894/292820/65050/171355/24716/266802/686117/24224/25509/24225/307740/114634/499593/307594/56761/25099/314988/295475/29410/363249/25404/140933/64628/317247/246216/24592/24705/25553/171116/303181/310738/79114/170901/140587/501231/54226/444985/24511/60446/24929/304947/29146/366214/24183/302983/24916/83618/25730/50594/117029/50938/84010/29499/313539/500048/29373/155437/500409/24494/304103/116647/83765/24498/313264/499929/304729/305468/54295/305066/684085/302993/310552/29577/140586/303948/81730/25510/252939/293897/300160/24175/66017/362675/89823/296500/57233/24472/29722/363875/313644,171
GO:0021915,neural tube development,146/8652,196/18112,1.7039729745139196e-14,1.4072686803266833e-11,8.755282191416915e-12,362736/85272/24650/83721/305348/79428/316013/311622/59319/84354/315217/301346/679713/29560/294503/362051/252833/300754/312781/25497/361700/24855/79225/361828/305230/289229/679693/367242/171458/361472/25537/24771/84402/361517/309377/500532/299979/315952/114502/307151/498328/361769/500308/316742/140588/361096/65165/64512/114500/685072/308582/311331/25495/25296/311071/25026/58868/60445/313757/25496/85489/84046/303968/29216/317715/64303/24881/58834/297867/300128/294276/679869/296787/364666/296201/500666/25509/307740/304883/307594/25099/292770/29344/289392/64628/307724/78963/366492/24592/290669/24705/308739/171116/686412/303181/81757/302526/363286/688749/362657/64044/287612/305497/311860/25249/303811/114490/306400/293148/308577/304495/295461/29499/289180/171049/81751/288583/25401/363544/362265/312651/304729/25273/116676/29192/315259/683470/114093/290652/29258/64566/310552/29577/298555/292085/311349/500709/58823/29349/305349/289437/305854/312936/304037/691750/282836,146
GO:0032535,regulation of cellular component size,270/8652,410/18112,6.548124994542681e-14,4.187876660586809e-11,2.6054755896204965e-11,360272/65172/93667/361764/25183/315121/292887/364206/25595/81531/116667/302965/114514/311384/315196/84360/297518/301346/25751/29477/303342/501099/288669/316369/54227/29560/691418/83620/65047/300754/313020/100910872/308069/308864/303901/303298/25416/29409/24855/117028/171572/25293/24185/361828/66026/298584/310695/300519/84394/140908/65206/56718/117273/29501/83572/50646/171287/315655/64226/25523/290562/296789/316521/64622/114850/691149/84609/691209/303206/29254/691317/362790/100910729/369016/361324/294797/363067/309376/81521/170915/117542/29431/89816/25690/81504/361517/365396/25529/306941/304282/296710/24882/266733/59326/299012/312927/50557/311846/360854/79121/296935/315348/59312/170911/497078/29751/81732/307482/305589/171373/501069/60445/29456/83629/301511/84685/690853/690516/282834/303823/307940/299799/29397/155423/64303/24323/312915/360950/312213/140590/450224/360921/65050/171355/293410/26295/288369/296787/293042/288077/24716/364395/307833/56768/317420/310131/300838/24225/25240/362302/298890/287531/25661/289257/306619/81830/65261/25252/140933/83731/286758/295378/314979/114523/308739/24170/313866/299909/116671/303181/299331/170538/363142/315996/310738/170845/298399/308458/171119/361256/314397/25566/362919/25065/296558/298006/84005/29465/361244/301737/317435/301709/300231/311860/314251/306790/317371/24171/296654/29744/304816/361167/114029/83527/363013/310641/50687/113912/25464/361422/25610/116677/309280/306400/360776/304271/25676/24215/315272/58814/311647/679934/64476/300228/117029/363235/316201/29741/303653/313385/83765/309429/25353/309175/313838/29324/100360427/29153/79253/304203/298168/291202/64563/287871/310630/81917/362645/310621/64566/171443/295357/308666/313647/295261/58823/81755/66025/246262/362675/300955/293947/291245/500267/60465/298975/25498/300067/363875/292750/54300,270
GO:0090287,regulation of cellular response to growth factor stimulus,205/8652,297/18112,6.829072222597727e-14,4.187876660586809e-11,2.6054755896204965e-11,307251/362930/58812/360272/502727/338475/498528/25236/364786/85471/29417/117107/25751/64558/680066/307376/365216/314694/29560/307618/287155/316312/83476/680717/294754/117279/304334/266803/79225/301291/54281/690899/296952/291610/24914/289754/296072/300455/25705/296179/679028/25317/84574/363455/252835/361324/310681/84402/170915/367218/305539/60391/114031/114111/308478/309377/361341/362165/361954/84353/309179/363294/100366024/25483/360959/81735/65164/24596/298696/79128/498764/360606/25495/25296/311071/170842/192126/29300/58868/292401/83727/25639/367100/315748/306471/24373/305922/79210/81516/313757/311676/498576/25496/84046/100363275/690516/290744/114208/365894/29216/83837/300813/24881/302863/140590/498416/445442/84426/81745/309757/292658/304791/301285/679869/689008/81710/366889/83841/64535/25617/50554/102553587/94188/65261/58946/59107/80722/25404/25664/311827/29492/306141/362738/308739/89811/310738/79114/497010/303689/308870/501231/500485/24401/294809/497811/361807/24628/363425/311860/500311/300673/502694/24697/89803/305302/362326/294297/360406/114490/24842/24666/289264/298744/83823/24179/50594/308577/306805/300967/84010/116499/29373/414065/171049/84471/314259/311642/308061/303185/309170/246297/100365184/367455/290652/81512/366251/290921/287287/64566/310552/29577/308666/679921/29476/293897/315388/25237/314621/54254/309775/296500/362342/292156/84397/24472,205
