ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
rno04360,Axon guidance,100/2705,181/8998,9.753123179343122e-13,3.37458062005272e-10,1.9506246358686244e-10,85272/360272/65172/361764/60589/310753/311384/315217/366508/301346/303342/311450/287989/316369/60630/60395/65047/25643/282582/252833/303901/54293/25416/314903/361568/140908/117273/83805/116590/171287/29748/290562/25537/296789/24675/84609/361324/29431/365396/25622/24525/311658/367072/81735/170911/311236/29751/25513/296787/361400/362993/293042/295382/29202/84426/81745/246217/24338/641521/25400/316539/360715/25614/306534/500287/84358/58946/171140/362398/312279/313633/24511/311860/307237/366492/362279/114523/308739/296078/363142/312275/360546/289392/140933/25676/363875/140585/25686/50687/25738/360958/310630/309280/24245/292756/306790/140590/307395/25273/501203,100
rno05200,Pathways in cancer,231/2705,538/8998,4.699971814449822e-11,8.130951238998192e-9,4.699971814449822e-9,362788/24483/296456/24356/25289/24790/24708/25242/83721/50672/287357/81636/311786/25682/311622/290905/313575/84014/114110/84584/315196/366508/29434/25267/293649/64558/308913/100360552/305999/25031/84351/116502/361696/54702/29560/114483/25643/282582/24654/312781/399489/25114/78966/24451/94203/58979/79225/685269/64363/25385/24185/299626/24706/116465/25112/25272/29348/56718/117273/307582/116590/24874/81666/252963/100360218/25493/24205/297893/54355/307403/25205/500985/25537/24482/64352/114850/25317/362817/192362/294797/24918/25125/170915/24499/314322/116466/171081/362489/81504/25149/63879/114111/315713/499689/170582/84420/84353/361769/24242/24244/50663/24882/24525/24629/315294/140588/50557/317673/367072/64033/300339/170911/313861/64512/155430/25513/679869/25473/266802/297437/307505/50662/79218/363265/114851/245986/24716/297357/619385/84426/290537/363140/303634/116546/691155/24881/25271/498709/25400/81667/24705/58918/60427/64044/313929/25087/685451/360606/25614/29527/313845/116554/24224/24326/288774/114487/24329/314436/24335/25096/25296/64547/83840/494499/58868/84023/64030/363913/25094/362485/24516/171525/291105/25496/306628/117036/60371/114103/679110/171140/24628/114120/24511/25729/311860/81757/24842/100362121/64026/81662/25664/78963/29492/116562/311332/303251/50554/89811/29452/25193/303181/299331/155140/116744/312451/114117/84405/170851/29577/363875/25686/25738/81717/690369/24245/305078/84010/317366/24681/304729/60661/170579/25313/155437/25273/680149/29146/116499/24888/308457/58919,231
rno05224,Breast cancer,82/2705,148/8998,9.087277159204975e-11,1.0480659656949738e-8,6.058184772803318e-9,24790/24708/83721/287357/313575/114110/84584/315196/366508/293649/64558/100360552/116502/361696/114483/282582/312781/399489/79225/64363/24185/299626/25112/29348/56718/116590/24205/24482/114850/25317/314322/116466/81504/25149/679845/314612/170582/84353/24882/24525/315294/50557/170911/64512/155430/25513/679869/114851/84426/25154/24881/313929/313845/114487/24329/83840/58868/64030/363913/24516/171525/291105/25496/679110/113927/24842/100362121/29492/311332/303251/303181/85385/312451/170851/29577/84010/170579/25313/155437/29146/116499/58919,82
rno04072,Phospholipase D signaling pathway,82/2705,150/8998,2.2403358184563273e-10,1.9378904829647232e-8,1.1201679092281638e-8,25289/81636/366508/25267/25751/406165/25482/25031/314641/25108/24414/24654/24505/100361138/24855/24185/361568/311821/296091/56718/117273/116590/308589/500906/50646/24954/25316/81504/679845/361076/314612/84420/24419/25622/365865/691907/361388/24525/24629/59326/60590/79121/79429/170911/25513/192270/298947/171574/303634/116546/100909648/60427/54248/365355/252857/313845/81672/24329/24416/25096/60445/64030/24415/79119/368088/24628/170919/81757/81821/24418/85385/116744/170851/24417/25738/294324/84477/25107/688705/25313/116691/25047,82
rno04510,Focal adhesion,102/2705,200/8998,3.1468196722353723e-10,2.1775992131868776e-8,1.258727868894149e-8,296456/689069/290905/114110/364786/171337/366508/315744/25267/361821/29195/311450/314641/81822/293860/304913/315776/84352/499076/94203/288057/685269/501831/24185/24477/25272/117273/83805/307582/116590/362584/685004/25537/24482/311144/362973/305679/192362/29431/81504/63879/361517/114111/313494/360820/679845/117558/314612/311061/84353/365865/24629/114636/299012/50557/79429/64033/100911165/170911/25513/25473/363265/24668/25414/81745/287876/363425/24718/360606/25614/681309/313845/116554/24224/362285/24329/314436/315346/24516/295347/305104/367313/306628/117036/60371/24628/24511/295378/296078/89811/25193/85385/29154/25404/170851/363875/305078/292756/24681/25313/501203/58919,102
rno04010,MAPK signaling pathway,138/2705,294/8998,4.577932721119853e-10,2.6399412025124485e-8,1.525977573706618e-8,304786/24483/311786/116667/311622/309168/114110/171337/297682/29434/25267/25297/29477/25482/501099/84351/311743/293860/24667/24505/300980/301363/25114/310533/94203/25466/29644/64363/25385/24185/299626/361568/500526/25112/296091/25272/29348/81649/116590/306243/89805/307403/315139/29748/24954/24482/498003/63995/24675/25317/682930/25398/29431/314322/114509/140726/24518/81504/25399/114111/289014/304530/170582/58942/60587/691907/24525/24629/361715/24493/79429/286993/499497/171492/361400/303604/497961/257648/363855/24494/60427/24471/365355/60350/313845/116554/65179/116596/24225/303823/24329/81737/24596/314436/84358/64030/56827/24516/295347/25625/24628/114120/24842/29658/78965/366492/24592/116457/25597/25579/89811/116600/308267/54234/24666/60460/25054/81647/363520/89807/317203/170851/25676/303200/300992/363875/89804/361679/25663/24681/60661/29716/170579/25313/140926/293847/116499/362045,138
rno04014,Ras signaling pathway,113/2705,234/8998,2.3420492395172542e-9,1.1576414812471e-7,6.691569255763584e-8,24483/24356/289733/311622/84014/114110/171337/366508/29434/25267/25482/311450/362257/84351/24410/24505/288779/25114/94203/58979/367415/25385/24185/361568/296091/25272/29348/117273/116590/89805/54355/307403/24954/24482/25317/29431/81504/114111/679845/314612/170582/690388/25622/24242/24244/50663/691907/361388/24525/24629/79121/79429/170911/25513/79218/245986/171455/24408/363140/116546/81667/301348/60427/29354/365355/685451/313845/116554/24225/304883/24329/81737/24596/314436/25096/296211/84358/64030/295347/24628/114120/302415/311860/81757/65032/26955/29372/78965/366492/24592/25597/296078/89811/85385/25054/89807/114117/289080/170851/25676/363875/89804/25738/304063/292756/24681/84477/170579/25313/299827/680149/116499/24888,113
rno04151,PI3K-Akt signaling pathway,152/2705,345/8998,1.4809185829426945e-8,6.120222243172771e-7,3.537700718596978e-7,406169/24483/296456/294515/290905/114110/364786/366508/315648/315744/25267/361821/207122/289747/29195/84351/361696/114483/304913/310615/24505/84352/25114/94203/29753/58979/24855/685269/25385/24185/24477/25229/29348/56718/307582/116590/362584/685004/89805/307403/64226/24684/24954/24482/246255/113970/25317/362817/311144/192362/294797/117281/24499/81758/56010/25577/81504/690575/114111/314638/170582/56011/311061/362165/309179/24525/117256/117104/363193/24629/50557/79429/64033/170911/25513/303565/25473/79218/363265/114851/298947/245986/81745/690987/25271/81667/59265/24718/58918/60427/685451/360606/25614/681309/313845/24224/25576/362285/24225/500131/24329/81737/24596/24335/64547/83840/498949/84358/363122/60445/64030/362485/315346/140942/78975/305104/367313/306628/117036/60430/24628/114120/24511/25634/25729/24842/78965/116562/366492/89811/25193/299331/25054/81647/116744/89807/114117/299147/170851/25467/363875/500261/114562/89804/305078/170579/25313/680149/116499/24888/300253/58919,152
rno05100,Bacterial invasion of epithelial cells,47/2705,77/8998,1.59196532336864e-8,6.120222243172771e-7,3.537700718596978e-7,310460/366508/297518/25751/289820/288669/54227/81822/117273/83805/500985/83788/305227/305679/362298/293507/360820/679845/314612/84353/296710/361388/56003/83800/360854/170911/81732/25513/307505/54241/691335/171574/25414/288077/297357/303135/287876/363425/25614/316258/315346/301511/24511/363542/85385/25404/363875,47
rno04550,Signaling pathways regulating pluripotency of stem cells,74/2705,142/8998,2.6688825804914342e-8,9.234333728500363e-7,5.337765160982869e-7,25646/83721/287357/299210/307829/25431/309457/83711/315196/366508/64558/100360552/294503/282582/25114/287662/24185/64444/81649/116590/25196/24205/288151/25205/24482/114850/681178/25125/116466/85435/303491/81504/689883/307151/84353/24882/24525/59328/315294/306571/60584/170911/64512/245921/25513/681740/686117/81507/84426/24881/25261/59112/79558/81680/25509/114487/25296/58868/363913/353305/29263/114208/303251/50554/303181/291023/25587/29410/170851/25671/499593/312480/140590/293847,74
