miRNA	targetID	symbol
hsa-miR-155	85478	CCDC65
hsa-miR-155	57616	TSHZ3
hsa-miR-155	23361	ZNF629
hsa-miR-155	359948	IRF2BP2
hsa-miR-155	153222	CREBRF
hsa-miR-155	645369	TMEM200C
hsa-miR-155	10881	ACTL7A
hsa-miR-155	3720	JARID2
hsa-miR-155	196528	ARID2
hsa-miR-155	134526	ACOT12
hsa-miR-155	3097	HIVEP2
hsa-miR-155	220988	HNRNPA3
hsa-miR-155	389073	C2orf80
hsa-miR-155	97	ACYP1
hsa-miR-155	23186	RCOR1
hsa-miR-155	571	BACH1
hsa-miR-155	3434	IFIT1
hsa-miR-155	342371	ATXN1L
hsa-miR-155	473	RERE
hsa-miR-155	84930	MASTL
hsa-miR-155	7465	WEE1
hsa-miR-155	7750	ZMYM2
hsa-miR-155	4774	NFIA
hsa-miR-155	55713	ZNF334
hsa-miR-155	1051	CEBPB
hsa-miR-155	219477	OR8J1
hsa-miR-155	23589	CARHSP1
hsa-miR-155	7547	ZIC3
hsa-miR-155	100130733	LRRC70
hsa-miR-155	93624	TADA2B
hsa-miR-155	51161	C3orf18
hsa-miR-155	64968	MRPS6
hsa-miR-155	57579	FAM135A
hsa-miR-155	6357	CCL13
hsa-miR-155	120376	COLCA2
hsa-miR-155	5121	PCP4
hsa-miR-155	57532	NUFIP2
hsa-miR-155	112574	SNX18
hsa-miR-155	2353	FOS
hsa-miR-155	53353	LRP1B
hsa-miR-155	9857	CEP350
hsa-miR-155	5948	RBP2
hsa-miR-155	84188	FAR1
hsa-miR-155	785	CACNB4
hsa-miR-155	94241	TP53INP1
hsa-miR-155	51002	TPRKB
hsa-miR-155	58	ACTA1
hsa-miR-155	51108	METTL9
hsa-miR-155	360023	ZBTB41
hsa-miR-155	796	CALCA
hsa-miR-155	63891	RNF123
hsa-miR-155	219956	OR9Q1
hsa-miR-155	1780	DYNC1I1
hsa-miR-155	58492	ZNF77
hsa-miR-155	4294	MAP3K10
hsa-miR-155	474343	SPIN2B
hsa-miR-155	11001	SLC27A2
hsa-miR-155	10161	LPAR6
hsa-miR-155	79750	ZNF385D
hsa-miR-155	10943	MSL3
hsa-miR-155	25948	KBTBD2
hsa-miR-155	6925	TCF4
hsa-miR-155	158038	LINGO2
hsa-miR-155	727866	FAM156B
hsa-miR-155	1523	CUX1
hsa-miR-155	203547	VMA21
hsa-miR-155	7168	TPM1
hsa-miR-155	7678	ZNF124
